evaluated_model,ground_truth_label,count,mean,std,min,max,risk_factor,stability_score
gemini-2.5-pro,drink,14,1.0,0.0,1.0,1.0,0.0,1.0
gemini-2.5-pro,handshake,14,1.0,0.0,1.0,1.0,0.0,1.0
gemini-2.5-pro,strechoneself,1,1.0,,1.0,1.0,0.0,1.0
gemini-2.5-pro,turn,14,1.0,0.0,1.0,1.0,0.0,1.0
gemini-2.5-pro,sit,14,0.976,0.089,0.667,1.0,0.31,0.911
gemini-2.5-pro,bow,14,0.971,0.045,0.867,1.0,0.105,0.955
gemini-2.5-pro,pickup,14,0.939,0.148,0.467,1.0,0.473,0.852
gemini-2.5-pro,liftupahand,14,0.879,0.177,0.3,1.0,0.579,0.823
gemini-2.5-pro,squat,14,0.874,0.321,0.067,1.0,0.807,0.679
gemini-2.5-pro,pushsomeone,14,0.87,0.29,0.2,1.0,0.67,0.71
gemini-2.5-pro,playphone,14,0.855,0.349,0.033,1.0,0.821,0.651
gemini-2.5-pro,thumbup,14,0.821,0.354,0.0,1.0,0.821,0.646
gemini-2.5-pro,hug,14,0.814,0.372,0.033,1.0,0.781,0.628
gemini-2.5-pro,lunge,14,0.783,0.367,0.033,1.0,0.75,0.633
gemini-2.5-pro,pushup,14,0.76,0.271,0.1,1.0,0.66,0.729
gemini-2.5-pro,kicksomeone,14,0.758,0.368,0.067,1.0,0.692,0.632
gemini-2.5-pro,freestyle,54,0.755,0.282,0.0,1.0,0.755,0.718
gemini-2.5-pro,sleep,14,0.743,0.373,0.033,0.933,0.71,0.627
gemini-2.5-pro,falldown,14,0.733,0.439,0.033,1.0,0.7,0.561
gemini-2.5-pro,walk,13,0.687,0.415,0.133,1.0,0.554,0.585
gemini-2.5-pro,gym,55,0.685,0.241,0.1,1.0,0.585,0.759
gemini-2.5-pro,makevictorysign,14,0.675,0.4,0.0,1.0,0.675,0.6
gemini-2.5-pro,jumprope,14,0.667,0.386,0.067,1.0,0.6,0.614
gemini-2.5-pro,answerphone,14,0.66,0.474,0.033,1.0,0.626,0.526
gemini-2.5-pro,clap,14,0.652,0.47,0.0,1.0,0.652,0.53
gemini-2.5-pro,jumpingjack,14,0.629,0.441,0.033,1.0,0.595,0.559
gemini-2.5-pro,handwave,14,0.604,0.386,0.067,1.0,0.537,0.614
gemini-2.5-pro,stretchoneself,13,0.596,0.366,0.067,1.0,0.529,0.634
gemini-2.5-pro,bowling,14,0.582,0.328,0.1,1.0,0.482,0.672
gemini-2.5-pro,boxing,14,0.581,0.456,0.0,1.0,0.581,0.544
gemini-2.5-pro,type,14,0.562,0.466,0.0,1.0,0.562,0.534
gemini-2.5-pro,shakehead,14,0.56,0.315,0.067,0.933,0.493,0.685
gemini-2.5-pro,conversation,14,0.558,0.391,0.0,1.0,0.558,0.609
gemini-2.5-pro,jog,14,0.456,0.413,0.033,1.0,0.423,0.587
gemini-2.5-pro,sneeze,14,0.448,0.429,0.0,1.0,0.448,0.571
