Model,FPS,ground_truth_label,Mean_Score,Stability_Score,video_path
Qwen3-VL-30B,10fps,boxing,0.6535714285714286,0.9545431354951506,14
Qwen3-VL-30B,10fps,dance,0.5846153846153845,0.8912143413559157,13
Qwen3-VL-30B,10fps,drawcircleclockwise,0.2285714285714286,0.909086270990301,14
Qwen3-VL-30B,10fps,drawcirclecounterclockwise,0.20357142857142857,0.9141370337130621,14
Qwen3-VL-30B,10fps,drawzigzag,0.22142857142857145,0.8787816946537347,14
Qwen3-VL-30B,10fps,falldown,0.42857142857142855,0.9595938982179116,14
Qwen3-VL-30B,10fps,jog,0.65,0.9595938982179115,14
Qwen3-VL-30B,10fps,jumpingjack,0.6964285714285714,0.8838324573764957,14
Qwen3-VL-30B,10fps,jumprope,0.7785714285714286,0.9292893218813453,14
Qwen3-VL-30B,10fps,kicksomeone,0.9428571428571428,1.0,14
Qwen3-VL-30B,10fps,punchsomeone,0.22500000000000003,0.9141370337130621,14
Qwen3-VL-30B,10fps,stagger,0.3392857142857143,0.8838324573764957,14
Qwen3-VL-30B,3fps,boxing,0.6476190476190476,0.9324291782961956,14
Qwen3-VL-30B,3fps,dance,0.5,0.9071929254381111,13
Qwen3-VL-30B,3fps,drawcircleclockwise,0.21428571428571427,0.8397337036812693,14
Qwen3-VL-30B,3fps,drawcirclecounterclockwise,0.19999999999999998,0.872416915097734,14
Qwen3-VL-30B,3fps,drawzigzag,0.18333333333333335,0.9489548043916504,14
Qwen3-VL-30B,3fps,falldown,0.5595238095238095,0.9692185637374393,14
Qwen3-VL-30B,3fps,jog,0.6357142857142858,0.9281961830480591,14
Qwen3-VL-30B,3fps,jumpingjack,0.6035714285714285,0.8899569101567062,14
Qwen3-VL-30B,3fps,jumprope,0.725,0.9066896810161124,14
Qwen3-VL-30B,3fps,kicksomeone,0.5452380952380952,0.9628846255520954,14
Qwen3-VL-30B,3fps,punchsomeone,0.2488095238095238,0.9000588857109924,14
Qwen3-VL-30B,3fps,stagger,0.32142857142857145,0.9299618310441092,14
Qwen3-VL-4B,10fps,boxing,0.4440476190476191,0.9547848070076986,14
Qwen3-VL-4B,10fps,dance,0.7538461538461539,0.964596985064386,13
Qwen3-VL-4B,10fps,drawcircleclockwise,0.15238095238095237,0.9297960488914274,14
Qwen3-VL-4B,10fps,drawcirclecounterclockwise,0.15119047619047618,0.934116588183153,14
Qwen3-VL-4B,10fps,drawzigzag,0.1976190476190476,0.9020556995904128,14
Qwen3-VL-4B,10fps,falldown,0.34761904761904766,0.960970702749016,14
Qwen3-VL-4B,10fps,jog,0.4869047619047619,0.9257596624408048,14
Qwen3-VL-4B,10fps,jumpingjack,0.5666666666666667,0.8739837859840345,14
Qwen3-VL-4B,10fps,jumprope,0.5190476190476191,0.9187900988933342,14
Qwen3-VL-4B,10fps,kicksomeone,0.75,0.9781317218435946,14
Qwen3-VL-4B,10fps,punchsomeone,0.11190476190476191,0.9444749807721696,14
Qwen3-VL-4B,10fps,stagger,0.3273809523809524,0.9242621311634319,14
Qwen3-VL-4B,3fps,boxing,0.32142857142857145,0.9339199793856391,14
Qwen3-VL-4B,3fps,dance,0.658974358974359,0.951147284914724,13
Qwen3-VL-4B,3fps,drawcircleclockwise,0.16428571428571428,0.9102814002659355,14
Qwen3-VL-4B,3fps,drawcirclecounterclockwise,0.10952380952380955,0.9165555302140629,14
Qwen3-VL-4B,3fps,drawzigzag,0.1976190476190476,0.8908638843474186,14
Qwen3-VL-4B,3fps,falldown,0.530952380952381,0.9692185637374393,14
Qwen3-VL-4B,3fps,jog,0.4714285714285714,0.9117004610712126,14
Qwen3-VL-4B,3fps,jumpingjack,0.6154761904761905,0.884863853851002,14
Qwen3-VL-4B,3fps,jumprope,0.3142857142857142,0.8917348774119148,14
Qwen3-VL-4B,3fps,kicksomeone,0.2833333333333333,0.9557417684092383,14
Qwen3-VL-4B,3fps,punchsomeone,0.10238095238095238,0.9200274826949526,14
Qwen3-VL-4B,3fps,stagger,0.3404761904761905,0.9117422972367707,14
