model,Scene,ObjPr,Attr,LocIm,SpRel,Count,Interact,Temp2Col,HeatAlign,ThermAttr,RelTherm,Warmest,Coldest,Anomaly
gemini-2.5-pro,93.9655,91.3793,84.4828,80.1724,77.5862,60.3448,87.0690,79.3103,52.5862,71.5517,70.0855,74.1379,86.2069,73.9130
qwen3-vl-plus-non-thinking,97.4138,91.3793,91.3793,81.0345,75.8621,62.0690,79.3103,68.9655,51.7241,65.5172,62.3932,67.2414,81.8966,80.8696
zai-org/GLM-4.5V,96.5517,88.7931,87.0690,75.0000,76.7241,64.6552,84.4828,73.2759,59.4828,64.6552,62.3932,68.1034,78.4483,66.9565
doubao-seed-1-6-vision-250815,95.6897,93.9655,87.9310,76.7241,79.3103,72.4138,75.8621,68.1034,47.4138,68.1034,65.8120,69.8276,57.7586,68.6957
gpt-5_thermal_only,93.6170,82.0755,53.9823,68.1034,70.4348,54.8673,68.6957,82.9268,78.9474,65.5172,68.9655,70.7965,78.8991,76.1062
doubao-seed-1-6-vision-250815-non-thinking,94.8276,91.3793,84.4828,71.5517,70.6897,73.2759,79.3103,60.3448,53.4483,66.3793,68.3761,67.2414,56.0345,75.6522
gemini-2.5-flash,96.5517,91.3793,87.0690,77.5862,78.4483,61.2069,81.8966,75.8621,58.6207,62.0690,55.5556,70.6897,76.7241,74.7826
gemini-2.5-pro_thermal_only,88.2979,82.0755,57.5221,67.2414,62.6087,60.1770,61.7391,90.2439,52.6316,63.7931,73.2759,72.5664,80.7339,68.1416
qwen3-vl-plus_thermal_only,90.4255,64.1509,55.7522,64.6552,58.2609,57.5221,68.6957,78.0488,47.3684,59.4828,60.3448,62.8319,84.4037,77.8761
qwen3-vl-flash-non-thinking,96.5517,87.0690,88.7931,68.9655,65.5172,53.4483,73.2759,63.7931,48.2759,52.5862,46.1538,62.0690,73.2759,65.2174
unsloth/Qwen3-VL-8B-Thinking-GGUF:Q8_0_thermal_only,81.9149,71.6981,52.2124,63.7931,62.6087,55.7522,66.9565,70.7317,47.3684,58.6207,64.6552,64.6018,76.1468,72.5664
unsloth/Qwen3-VL-30B-A3B-Thinking-GGUF:Q5_K_M_thermal_only,87.2340,61.3208,54.8673,62.9310,54.7826,55.7522,66.0870,75.6098,50.0000,61.2069,64.6552,72.5664,73.3945,64.6018
gemini-2.5-flash_thermal_only,89.3617,73.5849,54.8673,63.7931,58.2609,46.9027,63.4783,80.4878,52.6316,57.7586,53.4483,75.2212,74.3119,78.7611
qwen3-vl-flash_thermal_only,82.9787,58.4906,52.2124,54.3103,53.9130,57.5221,67.8261,70.7317,60.5263,56.8966,50.8621,62.8319,73.3945,73.4513
unsloth/gemma-3-27b-it-GGUF:Q8_0_thermal_only,79.7872,73.5849,52.2124,64.6552,61.7391,45.1327,56.5217,73.1707,55.2632,49.1379,54.3103,58.4071,61.4679,48.6726
unsloth/Qwen3-VL-8B-Instruct-GGUF:Q8_0_thermal_only,79.7872,47.1698,56.6372,56.8966,47.8261,48.6726,63.4783,65.8537,57.8947,53.4483,56.0345,69.9115,76.1468,69.9115
ggml-org/SmolVLM2-2.2B-Instruct-GGUF:F16,61.2069,51.7241,50.8621,45.6897,50.8621,52.5862,54.3103,62.9310,51.7241,55.1724,43.5897,58.6207,62.0690,60.8696
