model,Scene,ObjPr,Attr,LocIm,SpRel,Count,Interact,Temp2Col,HeatAlign,ThermAttr,RelTherm,Warmest,Coldest,Anomaly
gemini-2.5-pro,75.8621,68.9655,48.2759,34.4828,34.4828,10.3448,58.6207,34.4828,6.8966,34.4828,20.6897,31.0345,58.6207,37.9310
qwen3-vl-plus-non-thinking,89.6552,65.5172,68.9655,44.8276,34.4828,17.2414,31.0345,13.7931,0.0000,6.8966,6.8966,17.2414,48.2759,48.2759
zai-org/GLM-4.5V,89.6552,58.6207,62.0690,34.4828,24.1379,31.0345,41.3793,27.5862,3.4483,17.2414,13.7931,20.6897,44.8276,24.1379
doubao-seed-1-6-vision-250815,82.7586,79.3103,51.7241,44.8276,44.8276,37.9310,34.4828,13.7931,0.0000,10.3448,13.7931,31.0345,10.3448,27.5862
gpt-5_thermal_only,77.7778,48.2759,6.8966,10.3448,24.1379,10.3448,31.0345,68.7500,65.0000,24.1379,24.1379,13.7931,31.0345,27.5862
doubao-seed-1-6-vision-250815-non-thinking,82.7586,72.4138,48.2759,31.0345,24.1379,34.4828,41.3793,6.8966,0.0000,13.7931,13.7931,27.5862,13.7931,44.8276
gemini-2.5-flash,86.2069,68.9655,62.0690,41.3793,37.9310,10.3448,44.8276,10.3448,13.7931,6.8966,6.8966,3.4483,13.7931,37.9310
gemini-2.5-pro_thermal_only,66.6667,48.2759,17.2414,13.7931,17.2414,10.3448,17.2414,75.0000,20.0000,17.2414,31.0345,20.6897,37.9310,20.6897
qwen3-vl-plus_thermal_only,70.3704,13.7931,10.3448,17.2414,13.7931,3.4483,17.2414,56.2500,20.0000,10.3448,13.7931,13.7931,55.1724,37.9310
qwen3-vl-flash-non-thinking,86.2069,55.1724,55.1724,27.5862,31.0345,13.7931,31.0345,6.8966,0.0000,0.0000,3.4483,0.0000,0.0000,24.1379
unsloth/Qwen3-VL-8B-Thinking-GGUF:Q8_0_thermal_only,48.1481,31.0345,3.4483,10.3448,27.5862,13.7931,17.2414,50.0000,15.0000,10.3448,17.2414,24.1379,34.4828,31.0345
unsloth/Qwen3-VL-30B-A3B-Thinking-GGUF:Q5_K_M_thermal_only,55.5556,20.6897,13.7931,6.8966,10.3448,10.3448,17.2414,56.2500,15.0000,17.2414,13.7931,34.4828,27.5862,24.1379
gemini-2.5-flash_thermal_only,62.9630,37.9310,6.8966,13.7931,13.7931,3.4483,17.2414,56.2500,15.0000,17.2414,13.7931,10.3448,6.8966,37.9310
qwen3-vl-flash_thermal_only,44.4444,10.3448,10.3448,3.4483,6.8966,13.7931,13.7931,50.0000,50.0000,13.7931,0.0000,10.3448,6.8966,31.0345
unsloth/gemma-3-27b-it-GGUF:Q8_0_thermal_only,51.8519,31.0345,10.3448,20.6897,13.7931,0.0000,10.3448,37.5000,50.0000,0.0000,3.4483,20.6897,6.8966,6.8966
unsloth/Qwen3-VL-8B-Instruct-GGUF:Q8_0_thermal_only,44.4444,3.4483,6.8966,10.3448,6.8966,0.0000,20.6897,25.0000,25.0000,10.3448,13.7931,13.7931,20.6897,24.1379
ggml-org/SmolVLM2-2.2B-Instruct-GGUF:F16,6.8966,6.8966,3.4483,3.4483,3.4483,0.0000,3.4483,6.8966,3.4483,13.7931,3.4483,10.3448,3.4483,20.6897
